 424, 56, 635, 765,
 254, -67, 1702, 1722,
 230, 156, 451, 529,
 -131, -143, 53, 201,
 -306, 125, -303, 448,
 29, 4, -696, 696,
 209, -28, -402, 453,
 43, -8, -51, 67,
 -141, -248, 114, 307,
 161, -377, -69, 415,
 217, 348, 856, 949,
 -123, 226, 1232, 1258,
 -655, -265, 763, 1039,
 38, 404, -466, 617,
 543, 536, -149, 777,
 446, -306, -10, 540,
 -304, -303, -114, 444,
 -231, 244, -605, 692,
 170, 113, -496, 536,
 -11, 3, -63, 64,
 -255, 70, 11, 264,
 168, -120, -243, 318,
 5, -83, -345, 354,
 -147, 121, 197, 273,
 -70, 46, 557, 563,
 26, 307, 319, 443,
 401, -81, -217, 463,
 217, -665, 84, 704,
 -188, -236, 697, 759,
 -563, 546, 981, 1255,
 66, -72, 11, 98,
 287, -174, -1001, 1055,
 252, -172, -939, 987,
 118, 92, -333, 365,
 -61, 85, 263, 283,
 -33, -131, -84, 159,
 30, -157, -265, 309,
 82, -129, -190, 243,
 140, -119, 67, 195,
 -200, 147, 476, 536,
 -182, 534, -141, 581,
 188, 181, 260, 368,
 229, -452, 17, 506,
 -404, -268, -240, 540,
 -323, 118, -505, 610,
 240, 97, -372, 453,
 249, 192, -47, 317,
 -55, -143, -51, 161,
 -33, -303, -305, 431,
 44, 100, -247, 270,
 -154, 218, 249, 365,
 47, 105, 694, 703,
 115, 43, -371, 390,
 235, -430, -66, 494,
 162, -285, 234, 402,
 -260, 126, 583, 650,
 -155, 209, 59, 266,
 -129, -21, -558, 573,
 91, -172, -651, 679,
 223, -38, -279, 359,
 260, 235, 44, 353,
 223, 103, 70, 255,
 -299, -407, 66, 509,
 -423, -305, 194, 556,
 -211, 203, 546, 619,
 78, 302, 451, 548,
 288, 254, -41, 386,
 -25, 269, -84, 282,
 267, -204, -202, 392,
 -25, -102, 57, 119,
 -229, 214, -154, 349,
 -104, -95, -551, 568,
 71, -112, -116, 176,
 8, 130, 129, 183,
 -89, -156, -65, 191,
 -20, -61, -96, 115,
 -73, 137, -94, 181,
 -144, 380, 202, 453,
 23, 82, 301, 312,
 -56, -125, 132, 190,
 166, -95, 62, 201,
 85, -172, -425, 466,
 333, -556, 248, 693,
 -159, 214, 653, 705,
 -234, 506, 616, 830,
 75, -168, -241, 303,
 38, -473, -658, 811,
 197, -46, -424, 469,
 269, 58, -358, 451,
 97, 415, 104, 438,
 96, -91, 89, 159,
 -337, -261, -277, 508,
 -287, -254, -66, 388,
 -29, 110, 420, 435,
 151, 123, -327, 380,
 -131, 475, 347, 602,
 285, 105, 120, 326,
 -410, -337, -101, 540,
 -209, -282, -151, 382,
 349, 17, -367, 506,
 207, 509, -28, 550,
 62, 244, 290, 384,
 -124, -94, 73, 171,
 -58, -196, -388, 438,
 -162, -79, -299, 349,
 -149, 58, 193, 250,
 -135, 371, 388, 553,
 -10, 198, 234, 306,
 111, -465, 53, 480,
 -336, -138, 719, 805,
 -298, 48, 532, 611,
 -72, 2, -499, 504,
 388, 19, -740, 835,
 330, 143, -330, 488,
 197, 78, -126, 246,
 -77, -49, -48, 103,
 -213, -150, -127, 289,
 -104, -16, -199, 225,
 95, 60, 13, 113,
 112, -269, 117, 313,
 -194, 58, 543, 579,
 246, 365, 284, 523,
 37, 364, -129, 387,
 -54, -305, 329, 451,
 -362, -223, -254, 495,
 40, -96, -714, 721,
 471, 100, -391, 620,
 348, 330, 9, 479,
 200, 199, 217, 355,
 -90, -15, 108, 141,
 -332, -126, -5, 355,
 -276, -154, -60, 321,
 -183, 83, -105, 226,
 106, 32, 1, 110,
 98, -206, 11, 228,
 232, 248, 459, 570,
 -384, 22, 458, 598,
 -24, -543, 155, 565,
 -82, -420, -432, 608,
 91, 394, -404, 571,
 393, 357, -129, 546,
 515, 264, 72, 583,
 337, -12, -15, 337,
 -336, -182, 92, 393,
 -287, -347, 40, 452,
 -2, -49, -113, 123,
 12, 166, 179, 244,

